arch,circuit,script_params,vpr_status,total_runtime,Total_used_logic_block_area,Total_routing_block_area,Min_chan_width,Critical_path_delay,Number_of_CLB_blocks,Number_of_DSP_blocks,Number_of_BRAM_blocks,Unnamed: 12,Total_logic_block_area,Total_used_area,geo_ave_area_arch,geo_ave_delay_arch,area_delay2_model_arch
stratix.xml_7.xml,mkPktMerge.v,common,success,23.68,4057470.0,2980360.0,44,2.96602,27,0,24,,5846940.0,8827300.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,blob_merge.v,common,success,76.16,11915400.0,6300230.0,112,13.4586,427,0,0,,25218620.0,31518850.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,stereovision2.v,common,success,1762.42,84182800.0,175628000.0,132,13.0196,1207,199,0,,132988355.0,308616355.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,diffeq1.v,common,success,41.06,3770880.0,6647070.0,108,19.0253,26,12,0,,5256340.0,11903410.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,stereovision3.v,common,success,1.46,362765.0,100110.0,26,1.99328,13,0,0,,767780.0,867890.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,ch_intrinsics.v,common,success,2.13,1923590.0,418280.0,40,2.10101,64,0,1,,3957020.0,4375300.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,stereovision0.v,common,success,90.15,16045400.0,6632010.0,92,4.16634,575,0,0,,33959500.0,40591510.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,spree.v,common,success,12.96,2363420.0,1668340.0,104,9.42878,46,1,6,,4089905.0,5758245.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,arm_core.v,common,success,367.4,23001100.0,20081200.0,180,21.6154,622,0,41,,43999700.0,64080900.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,LU8PEEng.v,common,success,1197.08,56110900.0,36589700.0,150,84.7462,1573,8,74,,108493220.0,145082920.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,diffeq2.v,common,success,41.34,3575540.0,5642680.0,92,13.0019,19,12,0,,4842920.0,10485600.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_3.xml,sha.v,common,success,17.41,3125360.0,1396390.0,92,10.3959,112,0,0,,6614720.0,8011110.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,boundtop.v,common,success,4.69,1281770.0,902499.0,46,3.71693,41,0,1,,2598640.0,3501139.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,mkDelayWorker32B.v,common,success,139.15,22640300.0,11103800.0,44,7.44537,466,0,70,,39924560.0,51028360.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,mkSMAdapter4B.v,common,success,28.91,5089900.0,3435790.0,106,4.95809,138,0,9,,9744900.0,13180690.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,or1200.v,common,success,117.33,6951450.0,7749090.0,142,10.7756,193,4,4,,13347560.0,21096650.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,bgm.v,common,success,1017.46,57009500.0,30150000.0,140,21.5544,1943,11,0,,118164295.0,148314295.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,stereovision1.v,common,success,416.4,23963900.0,32230000.0,118,6.34229,495,40,0,,41637300.0,73867300.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,mkPktMerge.v,common,success,22.93,4057470.0,2813040.0,44,3.17392,27,0,24,,5846940.0,8659980.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,blob_merge.v,common,success,80.2,11915400.0,5883010.0,112,13.7081,427,0,0,,25218620.0,31101630.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,stereovision2.v,common,success,1557.43,84182800.0,161387000.0,130,13.8127,1207,199,0,,132988355.0,294375355.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,diffeq1.v,common,success,31.97,3770880.0,5033090.0,86,18.3131,26,12,0,,5256340.0,10289430.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,stereovision3.v,common,success,1.39,362765.0,96748.1,26,2.40908,13,0,0,,767780.0,864528.1,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,ch_intrinsics.v,common,success,2.24,1923590.0,410946.0,42,1.99328,64,0,1,,3957020.0,4367966.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,stereovision0.v,common,success,89.04,16045400.0,6939020.0,104,6.86201,575,0,0,,33959500.0,40898520.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,spree.v,common,success,11.79,2363420.0,1523780.0,100,10.5081,46,1,6,,4089905.0,5613685.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,arm_core.v,common,success,344.06,23001100.0,19655500.0,188,22.4376,622,0,41,,43999700.0,63655200.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,LU8PEEng.v,common,success,1142.82,56110900.0,36317700.0,160,84.358,1573,8,74,,108493220.0,144810920.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_3.xml,diffeq2.v,common,success,34.8,3575540.0,4928690.0,82,13.579,19,12,0,,4842920.0,9771610.0,20064496.182225287,9.159216550384908,1683235621.543198
stratix.xml_5.xml,sha.v,common,exited with return code 1,16.0,-1.0,-1.0,100,-1.0,112,0,0,,6614720.0,6614719.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,boundtop.v,common,success,4.64,1281770.0,1055550.0,56,3.19613,41,0,1,,2598640.0,3654190.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,mkDelayWorker32B.v,common,exited with return code 1,161.63,-1.0,-1.0,50,-1.0,466,0,70,,39924560.0,39924559.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,mkSMAdapter4B.v,common,success,26.32,5089900.0,2835810.0,82,6.20549,138,0,9,,9744900.0,12580710.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,or1200.v,common,exited with return code 1,95.82,-1.0,-1.0,150,-1.0,193,4,4,,13347560.0,13347559.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,bgm.v,common,exited with return code 1,971.09,-1.0,-1.0,154,-1.0,1943,11,0,,118164295.0,118164294.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,stereovision1.v,common,exited with return code 1,427.45,-1.0,-1.0,132,-1.0,495,40,0,,41637300.0,41637299.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,mkPktMerge.v,common,exited with return code 1,21.04,-1.0,-1.0,60,-1.0,27,0,24,,5846940.0,5846939.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,blob_merge.v,common,exited with return code 1,65.75,-1.0,-1.0,120,-1.0,427,0,0,,25218620.0,25218619.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,stereovision2.v,common,exited with return code 1,1625.46,-1.0,-1.0,140,-1.0,1207,199,0,,132988355.0,132988354.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,diffeq1.v,common,exited with return code 1,36.89,-1.0,-1.0,108,-1.0,26,12,0,,5256340.0,5256339.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,stereovision3.v,common,success,1.35,362765.0,82151.1,20,2.61698,13,0,0,,767780.0,849931.1,15110398.397928068,0.0,0.0
stratix.xml_5.xml,ch_intrinsics.v,common,success,2.05,1923590.0,398124.0,40,2.15722,64,0,1,,3957020.0,4355144.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,stereovision0.v,common,success,104.2,16045400.0,7208650.0,108,5.17171,575,0,0,,33959500.0,41168150.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,spree.v,common,success,9.2,2363420.0,1735070.0,120,9.76668,46,1,6,,4089905.0,5824975.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,arm_core.v,common,exited with return code 1,325.09,-1.0,-1.0,190,-1.0,622,0,41,,43999700.0,43999699.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,LU8PEEng.v,common,exited with return code 1,1090.07,-1.0,-1.0,172,-1.0,1573,8,74,,108493220.0,108493219.0,15110398.397928068,0.0,0.0
stratix.xml_5.xml,diffeq2.v,common,exited with return code 1,35.64,-1.0,-1.0,92,-1.0,19,12,0,,4842920.0,4842919.0,15110398.397928068,0.0,0.0
stratix.xml_2.xml,sha.v,common,success,17.16,3125360.0,1458910.0,102,11.9562,112,0,0,,6614720.0,8073630.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,boundtop.v,common,exited with return code 1,5.28,-1.0,-1.0,50,-1.0,41,0,1,,2598640.0,2598639.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,mkDelayWorker32B.v,common,exited with return code 1,133.24,-1.0,-1.0,52,-1.0,466,0,70,,39924560.0,39924559.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,mkSMAdapter4B.v,common,exited with return code 1,26.06,-1.0,-1.0,100,-1.0,138,0,9,,9744900.0,9744899.0,16033106.763867266,0.0,0.0
